underground,street,floor,floors_count,total_meters,rooms_count,url,lat,lon,metro_distance_m,average_price,meters_per_room,is_large_apartment,price_log
Пятницкое шоссе,Муравская ,12,25,40.0,1,https://www.cian.ru/rent/flat/317620608/,55.8601713,37.377765,1525.306620173198,62375.0,40.0,0,60000.00000000002
Проспект Мира, Гиляровского,6,9,82.0,3,https://www.cian.ru/rent/flat/317605407/,55.7826041,37.6326024,164.23635648005651,207623.0,27.333333333333332,1,117999.99999999991
Молодёжная,Ельнинская ,11,12,53.0,2,https://www.cian.ru/rent/flat/317608496/,55.7371934,37.4260591,706.7431369486735,92109.0,26.5,0,50000.00000000001
Вавиловская,Ленинский проспект,4,8,57.0,2,https://www.cian.ru/rent/flat/317617001/,55.6928774,37.5523626,1199.525042172921,103844.0,28.5,0,95000.00000000006
Народное Ополчение, Народного Ополчения,1,17,57.0,2,https://www.cian.ru/rent/flat/317614586/,55.7723236,37.4725711,760.3380717342318,102401.0,28.5,0,74999.99999999996
Ломоносовский проспект,Мосфильмовская ,2,9,42.0,2,https://www.cian.ru/rent/flat/317622755/,55.7109694,37.5105851,551.9528195689032,196953.0,21.0,0,79999.99999999994
Чертановская,Балаклавский проспект,4,17,39.0,1,https://www.cian.ru/rent/flat/317613819/,55.6417357,37.6073883,144.2427429060123,73333.0,39.0,0,60000.00000000002
Университет Дружбы Народов, Островитянова,10,17,50.0,1,https://www.cian.ru/rent/flat/317576528/,55.6441943,37.495999,867.6163134649743,119833.0,50.0,0,69999.99999999994
Новые Черёмушки, Академика Пилюгина,8,18,52.0,2,https://www.cian.ru/rent/flat/317600982/,55.6712774,37.540208,901.0121132583586,98222.0,26.0,0,54999.99999999995
Красный Балтиец, Приорова,2,5,32.0,1,https://www.cian.ru/rent/flat/317575745/,55.8176946,37.532572,1771.719855320171,67042.0,32.0,0,44999.999999999985
Пятницкое шоссе,Пятницкое шоссе,4,16,78.0,3,https://www.cian.ru/rent/flat/317605285/,55.8560434,37.3583186,247.0569874927225,62375.0,26.0,0,79999.99999999994
Некрасовка, Недорубова,13,18,38.0,1,https://www.cian.ru/rent/flat/317597440/,55.7028098,37.9368422,662.3706505085092,53334.0,38.0,0,58999.99999999995
Ломоносовский проспект,Мичуринский проспект,12,17,55.0,1,https://www.cian.ru/rent/flat/317622903/,55.7018303,37.5111146,630.9619882452483,196953.0,55.0,0,124999.99999999991
Авиамоторная,Красноказарменная ,4,10,38.1,1,https://www.cian.ru/rent/flat/317579130/,55.7542357,37.7088399,675.8706922236071,99903.0,38.1,0,67900.00000000004
Щёлковская,5-я Парковая ,10,18,57.0,2,https://www.cian.ru/rent/flat/317596014/,55.8078236,37.7898913,573.5564681777993,52960.0,28.5,0,100000.00000000001
Кузьминки,Жигулевская ,17,18,56.0,2,https://www.cian.ru/rent/flat/317620992/,55.707203,37.7652031,180.20806690807945,56234.0,28.0,0,95000.00000000006
Соколиная гора,Вольная ,8,25,36.0,1,https://www.cian.ru/rent/flat/317592988/,55.7761737,37.737616,709.2783290178027,68460.0,36.0,0,60000.00000000002
Марьино, Маршала Голованова,4,17,37.8,1,https://www.cian.ru/rent/flat/317605148/,55.6440182,37.7307522,1023.679801546802,65291.0,37.8,0,50000.00000000001
Алтуфьево, Лескова,2,12,62.1,3,https://www.cian.ru/rent/flat/317581351/,55.896419,37.6090685,1391.744156930904,58013.0,20.7,0,65000.00000000002
Медведково,проезд Шокальского,10,14,46.6,2,https://www.cian.ru/rent/flat/317582577/,55.8849387,37.6692654,558.4230292687848,57621.0,23.3,0,54999.99999999995
Тропарёво,проспект Вернадского,5,14,56.0,2,https://www.cian.ru/rent/flat/317610989/,55.6521888,37.4729123,711.7732809454858,78074.0,28.0,0,124999.99999999991
Коптево,Большая Академическая ,5,18,88.0,3,https://www.cian.ru/rent/flat/317584510/,55.8354316,37.5355317,1066.1134467622453,67042.0,29.333333333333332,1,109999.99999999991
Юго-Западная,проспект Вернадского,6,12,52.0,2,https://www.cian.ru/rent/flat/317608774/,55.6674459,37.4952057,862.9555935660483,78074.0,26.0,0,69999.99999999994
Киевская,Большой Саввинский переулок,6,9,42.0,1,https://www.cian.ru/rent/flat/317597211/,55.7355742,37.5701096,829.419768235671,451484.0,42.0,0,100000.00000000001
Кузьминки,Волгоградский проспект,2,5,43.0,2,https://www.cian.ru/rent/flat/317600783/,55.707689,37.7608738,377.31812780609545,56234.0,21.5,0,65000.00000000002
Угрешская,Волгоградский проспект,13,30,40.0,2,https://www.cian.ru/rent/flat/317601221/,55.7202211,37.693549,342.2253724836859,98953.0,20.0,0,79999.99999999994
Балтийская,Ленинградское шоссе,2,30,54.5,2,https://www.cian.ru/rent/flat/317577206/,55.8280988,37.4878925,574.5338599767433,95070.0,27.25,0,124999.99999999991
Медведково,Ярославское шоссе,9,12,32.0,1,https://www.cian.ru/rent/flat/317603028/,55.8754247,37.7202655,3560.829650530568,55752.0,32.0,0,37999.999999999985
Отрадное, Декабристов,7,12,65.0,3,https://www.cian.ru/rent/flat/317603438/,55.8666003,37.5993298,498.06824162525805,64371.0,21.666666666666668,0,86999.99999999997
Аминьевская,Большая Очаковская ,10,32,55.0,2,https://www.cian.ru/rent/flat/317576160/,55.6924617,37.4666244,549.131880130423,97264.0,27.5,0,120000.00000000006
