underground,street,floor,floors_count,total_meters,rooms_count,url,lat,lon,metro_distance_m,average_price,meters_per_room,is_large_apartment,price_log
Дубровка,Шарикоподшипниковская ,5,8,55.6,2,https://www.cian.ru/rent/flat/317576781/,55.7217832,37.6733618,391.2688749750884,98953.0,27.8,0,89999.99999999997
Смоленская, Новый Арбат,8,24,35.0,1,https://www.cian.ru/rent/flat/317579560/,55.7531745,37.5859524,682.600985098409,415029.0,35.0,0,89999.99999999997
Алтуфьево,Алтуфьевское шоссе,6,12,52.0,2,https://www.cian.ru/rent/flat/317620742/,55.8938246,37.5856345,472.67239651922966,60458.0,26.0,0,65000.00000000002
Строгино, Твардовского,13,16,64.0,3,https://www.cian.ru/rent/flat/317600758/,55.7956552,37.3905823,1199.4315201169106,70897.0,21.333333333333332,0,89999.99999999997
Сокольники,Русаковская ,3,12,32.2,1,https://www.cian.ru/rent/flat/317622914/,55.7877835,37.6772541,227.95624466738644,86127.0,32.2,0,65000.00000000002
Новогиреево,шоссе Энтузиастов,9,9,46.0,2,https://www.cian.ru/rent/flat/317619592/,55.7706252,37.8274128,2213.722241042158,55038.0,23.0,0,65000.00000000002
Аэропорт,Красноармейская ,8,9,46.0,2,https://www.cian.ru/rent/flat/317619226/,55.7983228,37.5464681,878.9468313372299,175527.0,23.0,0,65000.00000000002
Медведково, Тихомирова,11,14,40.0,1,https://www.cian.ru/rent/flat/317581369/,55.8858775,37.6530871,534.6039550690986,57621.0,40.0,0,44999.999999999985
Водный стадион,Кронштадтский бульвар,17,26,48.0,2,https://www.cian.ru/rent/flat/317624072/,55.8409806,37.4952101,549.1196724999554,75782.0,24.0,0,89999.99999999997
Бескудниково,Путевой проезд,7,9,34.0,1,https://www.cian.ru/rent/flat/317621659/,55.8766887,37.574957,1884.1696365272928,56500.0,34.0,0,37999.999999999985
Жулебино,Саранская ,6,12,53.2,2,https://www.cian.ru/rent/flat/317585934/,55.6921371,37.8552322,741.9946561224107,58794.0,26.6,0,69999.99999999994
Лесопарковая,Варшавское шоссе,18,23,40.0,1,https://www.cian.ru/rent/flat/317604975/,55.5840582,37.5800824,296.3229196205048,61479.0,40.0,0,65000.00000000002
Киевская,Кутузовский проспект,4,7,59.0,2,https://www.cian.ru/rent/flat/317604782/,55.750274,37.5713217,760.0424801387383,194664.0,29.5,0,149999.99999999994
Митино,Митинская ,11,17,38.5,1,https://www.cian.ru/rent/flat/317620257/,55.8432971,37.3699137,552.3291142712214,62375.0,38.5,0,45999.99999999999
Некрасовка, Ухтомского Ополчения,3,17,38.0,1,https://www.cian.ru/rent/flat/317603959/,55.6990716,37.927994,514.0400023025938,53334.0,38.0,0,54999.99999999995
Улица 1905 года,Шмитовский проезд,1,6,21.0,1,https://www.cian.ru/rent/flat/317597132/,55.7573869,37.5521081,1025.3974483042668,278657.0,21.0,0,50000.00000000001
Тушинская, Николая Озерова,21,24,43.0,1,https://www.cian.ru/rent/flat/317582326/,55.8132141,37.4298735,647.8117772777235,124769.0,43.0,0,74999.99999999996
Терехово , Нижние Мневники,20,21,75.0,3,https://www.cian.ru/rent/flat/317624411/,55.7515466,37.4526279,564.6786511967518,102401.0,25.0,0,200000.00000000006
Серебряный Бор,Живописная ,4,5,45.0,2,https://www.cian.ru/rent/flat/317618198/,55.7841504,37.4538376,2237.3501680033423,102401.0,22.5,0,58000.00000000002
Аэропорт,Ленинградский проспект,13,42,42.0,2,https://www.cian.ru/rent/flat/317598438/,55.794056,37.5412714,871.1893210034772,126602.0,21.0,0,144999.99999999994
Рабочий посёлок,Можайское шоссе,3,5,65.0,3,https://www.cian.ru/rent/flat/317617694/,55.7199492,37.4199801,2021.2037228929528,105020.0,21.666666666666668,0,89999.99999999997
Ботанический сад,проезд Серебрякова,4,16,84.0,3,https://www.cian.ru/rent/flat/317608211/,55.8473478,37.6658955,818.9466818338783,77731.0,28.0,1,159999.9999999999
Пражская, Красного Маяка,2,9,39.0,1,https://www.cian.ru/rent/flat/317606120/,55.6112475,37.5827947,1367.527543307532,59227.0,39.0,0,39999.99999999997
Медведково,Полярная ,27,33,45.0,1,https://www.cian.ru/rent/flat/317586657/,55.8821796,37.6356514,1699.5966567841683,61290.0,45.0,0,69999.99999999994
Яхромская,Лобненская ,1,5,56.0,3,https://www.cian.ru/rent/flat/317615975/,55.8880193,37.5382113,1009.7506360236332,61162.0,18.666666666666668,0,54999.99999999995
Фили,Тучковская ,5,5,27.5,1,https://www.cian.ru/rent/flat/317622629/,55.7468447,37.5082004,437.2532482857792,129674.0,27.5,0,54999.99999999995
Аминьевская,Очаковское шоссе,19,33,44.0,1,https://www.cian.ru/rent/flat/317608199/,55.6956069,37.4603495,300.1395368681497,97264.0,44.0,0,95000.00000000006
Грачёвская,Ангарская ,15,17,38.0,1,https://www.cian.ru/rent/flat/317577906/,55.8739221,37.5151449,2007.2549844475063,71608.0,38.0,0,39999.99999999997
Римская,Новорогожская ,4,12,39.0,1,https://www.cian.ru/rent/flat/317596059/,55.742427,37.6820853,431.365884467972,130354.0,39.0,0,60000.00000000002
Нагатинская,Нагатинская набережная,18,26,60.0,2,https://www.cian.ru/rent/flat/317600495/,55.6823842,37.6375852,957.6520178220468,85299.0,30.0,0,130000.00000000006
Аэропорт, Константина Симонова,5,5,62.0,3,https://www.cian.ru/rent/flat/317596028/,55.7986739,37.5429876,658.0437832052785,175527.0,20.666666666666668,0,95000.00000000006
Бульвар Рокоссовского,4-я Гражданская ,2,5,30.0,1,https://www.cian.ru/rent/flat/317603003/,55.8081406,37.7183339,1234.047994701131,70824.0,30.0,0,44000.0
Кожуховская, Петра Романова,7,13,40.7,1,https://www.cian.ru/rent/flat/317610665/,55.7042001,37.6823032,397.28958712848,98953.0,40.7,0,54999.99999999995
Новогиреево,Федеративный проспект,10,12,46.0,2,https://www.cian.ru/rent/flat/317605230/,55.7540439,37.8153679,272.18957294021624,58190.0,23.0,0,69999.99999999994
Щёлковская,Сиреневый бульвар,1,5,35.0,1,https://www.cian.ru/rent/flat/317603774/,55.8049481,37.8223129,1567.3138764381015,52960.0,35.0,0,44999.999999999985
Спартак,Волоколамское шоссе,2,13,45.0,1,https://www.cian.ru/rent/flat/317582074/,55.8220295,37.4310555,499.2808096808891,124769.0,45.0,0,77000.0
Текстильщики,Саратовская ,20,23,67.0,2,https://www.cian.ru/rent/flat/317581961/,55.7174229,37.7494686,1149.763665310158,70650.0,33.5,0,79999.99999999994
Озёрная, Мичуринский проспект Олимпийская деревня,13,16,55.0,2,https://www.cian.ru/rent/flat/317594385/,55.6726526,37.4605655,747.338295650266,78074.0,27.5,0,69999.99999999994
Савёловская, Сущевский Вал,2,9,56.0,2,https://www.cian.ru/rent/flat/317582637/,55.79298,37.6013832,808.7140320376532,92410.0,28.0,0,54999.99999999995
Поклонная,Поклонная ,17,34,85.0,3,https://www.cian.ru/rent/flat/317618407/,55.7290865,37.5002733,540.1967407901876,194664.0,28.333333333333332,1,400000.0000000002
Коньково,Профсоюзная ,5,9,44.0,2,https://www.cian.ru/rent/flat/317577876/,55.6284881,37.5105379,746.8760442161173,76364.0,22.0,0,60000.00000000002
Фили,Большая Филевская ,4,14,71.0,2,https://www.cian.ru/rent/flat/317607956/,55.7513553,37.5172619,612.9297839326589,129674.0,35.5,0,249999.99999999983
Маяковская,Малая Бронная ,3,8,89.0,3,https://www.cian.ru/rent/flat/317582791/,55.764955,37.5924157,610.9495556483752,278657.0,29.666666666666668,1,299999.9999999999
Медведково,Полярная ,2,17,38.0,1,https://www.cian.ru/rent/flat/317618769/,55.8893294,37.6464893,956.591032550612,57621.0,38.0,0,44999.999999999985
Речной вокзал,Беломорская ,9,16,64.0,3,https://www.cian.ru/rent/flat/317607304/,55.8597256,37.4712202,618.1023470229542,84602.0,21.333333333333332,0,74999.99999999996
Некрасовка, Льва Яшина,4,17,38.0,1,https://www.cian.ru/rent/flat/317605685/,55.6978936,37.9255472,637.588491536617,53334.0,38.0,0,44999.999999999985
Маяковская,1-я Тверская-Ямская ,3,9,64.0,2,https://www.cian.ru/rent/flat/317578481/,55.7701699,37.5964235,39.898844429366704,243014.0,32.0,0,450000.00000000035
Медведково,Ярославское шоссе,3,12,32.0,1,https://www.cian.ru/rent/flat/317604536/,55.8754247,37.7202655,3560.829650530568,55752.0,32.0,0,39999.99999999997
Новопеределкино,Производственная ,7,18,35.0,1,https://www.cian.ru/rent/flat/317622828/,55.6434402,37.3820192,859.2291078769975,61958.0,35.0,0,79999.99999999994
Новопеределкино,Производственная ,7,21,35.0,2,https://www.cian.ru/rent/flat/317608392/,55.6434402,37.3820192,859.2291078769975,61958.0,17.5,0,74999.99999999996
Бульвар Рокоссовского,Открытое шоссе,11,28,36.1,1,https://www.cian.ru/rent/flat/317618686/,55.8140882,37.7407572,416.6857815870932,70824.0,36.1,0,69999.99999999994
Новаторская,Ленинский проспект,8,8,75.0,3,https://www.cian.ru/rent/flat/317593077/,55.6743212,37.5262455,546.9098530265121,98222.0,25.0,0,100000.00000000001
Площадь Ильича,проезд Шелихова,5,15,45.0,2,https://www.cian.ru/rent/flat/317608160/,55.7488494,37.6911507,579.3995693900355,99903.0,22.5,0,109999.99999999991
Щербинка,Варшавское шоссе,15,17,51.0,2,https://www.cian.ru/rent/flat/317597036/,55.5182518,37.5733325,3527.3295889176093,53788.0,25.5,0,79999.99999999994
Митино,Митинская ,3,25,61.0,2,https://www.cian.ru/rent/flat/317611183/,55.8442502,37.3714772,603.1465807906532,62375.0,30.5,0,85000.0
Щёлковская,15-я Парковая ,5,5,32.0,1,https://www.cian.ru/rent/flat/317590346/,55.8056444,37.8193702,1367.823731486117,52960.0,32.0,0,37999.999999999985
Марьино,Новочеркасский бульвар,7,14,54.0,2,https://www.cian.ru/rent/flat/317600749/,55.6515506,37.737974,365.9793428900703,65291.0,27.0,0,89999.99999999997
Сетунь,Вяземская ,12,22,39.0,1,https://www.cian.ru/rent/flat/317598394/,55.7112219,37.4041565,3022.592560695316,105020.0,39.0,0,44999.999999999985
Фили,Большая Филевская ,8,16,42.0,1,https://www.cian.ru/rent/flat/317621650/,55.7513553,37.5172619,612.9297839326589,129674.0,42.0,0,115000.00000000009
Бабушкинская, Менжинского,4,5,44.0,2,https://www.cian.ru/rent/flat/317579169/,55.8693548,37.6719381,471.9348636043821,59224.0,22.0,0,63000.00000000004
Домодедовская,Шипиловский проезд,5,17,51.0,2,https://www.cian.ru/rent/flat/317616246/,55.6038796,37.7077439,1030.4178562670515,58610.0,25.5,0,58000.00000000002
Москва-Сити,1-й Красногвардейский проезд,45,68,67.7,2,https://www.cian.ru/rent/flat/317623011/,55.7510862,37.5337195,310.41491030113497,278657.0,33.85,0,279999.9999999998
Бульвар Рокоссовского,Погонный проезд,6,9,30.0,1,https://www.cian.ru/rent/flat/317598180/,55.8182041,37.7181292,1080.3532553172292,70824.0,30.0,0,39999.99999999997
Ховрино, Маршала Федоренко,5,16,40.0,1,https://www.cian.ru/rent/flat/317620267/,55.8835775,37.4876451,603.8652223735667,71608.0,40.0,0,60000.00000000002
Текстильщики,1-й Грайвороновский проезд,15,24,75.0,3,https://www.cian.ru/rent/flat/317595687/,55.7193434,37.7250206,756.0522295955417,62434.0,25.0,0,95000.00000000006
Окская, Михайлова,7,33,58.0,2,https://www.cian.ru/rent/flat/317622148/,55.7256956,37.77553,859.9290793540706,70650.0,29.0,0,98000.00000000001
Пражская, Красного Маяка,5,9,47.0,2,https://www.cian.ru/rent/flat/317612409/,55.614837,37.5974868,513.2124938751625,59227.0,23.5,0,54999.99999999995
Сокольники, Охотничья,1,4,75.0,3,https://www.cian.ru/rent/flat/317593495/,55.7970827,37.6853517,964.5790414947847,86127.0,25.0,0,149999.99999999994
Деловой центр,набережная Пресненская,71,93,98.0,3,https://www.cian.ru/rent/flat/317621489/,55.75162,37.5440221,256.7711652537264,278657.0,32.666666666666664,1,450000.00000000035
Чкаловская,площадь Курского Вокзала,8,25,44.0,2,https://www.cian.ru/rent/flat/317588728/,55.7583946,37.6586383,106.28695603346468,183675.0,22.0,0,159999.9999999999
Первомайская,Измайловский бульвар,1,5,26.0,1,https://www.cian.ru/rent/flat/317602791/,55.7978726,37.8142703,999.3234889480034,57312.0,26.0,0,30000.000000000007
Новогиреево, Сталеваров,8,17,73.0,3,https://www.cian.ru/rent/flat/317621315/,55.758678,37.8375717,1528.85616708058,55038.0,24.333333333333332,0,60000.00000000002
Новослободская,Весковский переулок,2,7,147.4,3,https://www.cian.ru/rent/flat/317618673/,55.7791357,37.5985964,260.31162895032,243014.0,49.13333333333333,1,450000.00000000035
Алексеевская,проспект Мира,3,17,46.0,2,https://www.cian.ru/rent/flat/317608979/,55.8056074,37.6390058,355.4589048366895,105388.0,23.0,0,69999.99999999994
Парк Культуры, Тимура Фрунзе,1,4,78.0,3,https://www.cian.ru/rent/flat/317593174/,55.7335717,37.5916529,276.7660067466786,451484.0,26.0,0,135000.00000000012
Народное Ополчение,Карамышевская набережная,2,5,55.0,3,https://www.cian.ru/rent/flat/317624261/,55.7699083,37.4783474,576.2259848445416,102401.0,18.333333333333332,0,69999.99999999994
Славянский бульвар, Герасима Курина,17,22,80.0,3,https://www.cian.ru/rent/flat/317593243/,55.7315786,37.4718109,233.0575169043188,93407.0,26.666666666666668,0,130000.00000000006
Молодёжная,Рублевское шоссе,6,9,32.0,1,https://www.cian.ru/rent/flat/317605441/,55.7444356,37.4166985,404.8275095734736,92109.0,32.0,0,50000.00000000001
Белорусская, Бутырский Вал,4,9,46.0,2,https://www.cian.ru/rent/flat/317595881/,55.7840164,37.5873001,848.7724832652947,243014.0,23.0,0,95000.00000000006
Кузьминки, Шумилова,1,5,33.0,1,https://www.cian.ru/rent/flat/317606421/,55.7090744,37.7697912,468.03172300365554,56234.0,33.0,0,39999.99999999997
Менделеевская,Угловой переулок,4,10,47.0,2,https://www.cian.ru/rent/flat/317597718/,55.7850855,37.5890818,848.5683570770108,243014.0,23.5,0,100000.00000000001
Зорге,3-я Хорошевская ,6,20,45.0,2,https://www.cian.ru/rent/flat/317595899/,55.7862076,37.4978455,453.5606792803474,102401.0,22.5,0,109999.99999999991
Тропарёво,Ленинский проспект,11,16,75.0,3,https://www.cian.ru/rent/flat/317585190/,55.6460704,37.4809677,533.9924548323783,76364.0,25.0,0,85999.99999999994
Народное Ополчение,бульвар Генерала Карбышева,19,25,50.0,1,https://www.cian.ru/rent/flat/317611366/,55.7808076,37.4719348,1104.7952911897034,102401.0,50.0,0,75999.99999999999
Юго-Западная,Ленинский проспект,9,22,18.0,1,https://www.cian.ru/rent/flat/317598389/,55.6514491,37.4830886,916.4998791876304,78074.0,18.0,0,69900.00000000003
Октябрьское поле, Расплетина,10,13,64.0,2,https://www.cian.ru/rent/flat/317596991/,55.7957387,37.4837307,661.5167061593025,115591.0,32.0,0,105000.00000000004
Отрадное, Декабристов,9,9,33.0,1,https://www.cian.ru/rent/flat/317612212/,55.8642692,37.609428,315.0844272536295,64371.0,33.0,0,44999.999999999985
Войковская, Зои и Александра Космодемьянских,5,5,43.0,2,https://www.cian.ru/rent/flat/317617800/,55.8212654,37.5100841,798.3491542718293,95070.0,21.5,0,54999.99999999995
Ясенево,Тарусская ,11,22,60.0,2,https://www.cian.ru/rent/flat/317617826/,55.6006552,37.5277817,718.2909481219917,69954.0,30.0,0,74999.99999999996
Кузьминки, Юных Ленинцев,1,16,37.0,1,https://www.cian.ru/rent/flat/317609473/,55.7017812,37.7566916,703.1667474702812,56234.0,37.0,0,69999.99999999994
Печатники, Гурьянова,14,16,45.0,1,https://www.cian.ru/rent/flat/317618136/,55.6941633,37.719618,471.9332303628016,63548.0,45.0,0,60000.00000000002
Севастопольская,Чонгарский бульвар,5,6,32.0,1,https://www.cian.ru/rent/flat/317606858/,55.6523861,37.6003551,123.08644081325323,67293.0,32.0,0,42999.99999999997
Профсоюзная, Кржижановского,2,5,53.7,2,https://www.cian.ru/rent/flat/317619887/,55.682754,37.5632799,530.5470002229841,106416.0,26.85,0,68999.99999999994
Павелецкая,Летниковская ,10,10,95.0,3,https://www.cian.ru/rent/flat/317598430/,55.7240935,37.6445663,833.6008205596811,122875.0,31.666666666666668,1,260000.00000000015
Люблино,Белореченская ,12,17,38.0,1,https://www.cian.ru/rent/flat/317600836/,55.671606,37.7645523,498.0185874142067,62600.0,38.0,0,39999.99999999997
Динамо,Ленинградский проспект,10,19,70.0,3,https://www.cian.ru/rent/flat/317621582/,55.7852404,37.5627461,578.9534787353269,176491.0,23.333333333333332,0,179999.99999999997
Перерва,Люблинская ,2,17,48.0,2,https://www.cian.ru/rent/flat/317576541/,55.6620097,37.7338629,1078.220379889062,62600.0,24.0,0,58999.99999999995
Сходненская,Туристская ,1,9,33.0,1,https://www.cian.ru/rent/flat/317623454/,55.8460123,37.4246985,1058.709100654274,66085.0,33.0,0,39999.99999999997
Улица Горчакова, Горчакова,12,16,55.0,2,https://www.cian.ru/rent/flat/317575737/,55.5449363,37.5291392,364.57491022486624,53788.0,27.5,0,47999.99999999998
Бульвар Рокоссовского,Тагильская ,6,25,37.6,1,https://www.cian.ru/rent/flat/317620322/,55.8180614,37.7482374,956.2587228603828,65639.0,37.6,0,60000.00000000002
Кусково,Перовская ,4,5,49.0,2,https://www.cian.ru/rent/flat/317614708/,55.7439298,37.7849657,804.8804789770093,58190.0,24.5,0,51999.99999999997
Кунцевская, Ватутина,21,22,50.0,1,https://www.cian.ru/rent/flat/317596548/,55.721347,37.454647,698.262917846098,93407.0,50.0,0,74999.99999999996
Партизанская,Измайловский проезд,5,14,37.8,1,https://www.cian.ru/rent/flat/317581749/,55.7960588,37.7638929,1176.8197040378084,72130.0,37.8,0,54999.99999999995
Шипиловская,Борисовский проезд,8,9,44.1,2,https://www.cian.ru/rent/flat/317582759/,55.6243354,37.7233636,1330.8526833491003,61208.0,22.05,0,50000.00000000001
Технопарк,проспект Лихачева,3,18,58.0,2,https://www.cian.ru/rent/flat/317599915/,55.6871601,37.6559153,1013.3320245297886,122875.0,29.0,0,159999.9999999999
Моссельмаш,Дегунинская ,6,23,40.2,2,https://www.cian.ru/rent/flat/317594986/,55.8631508,37.5344912,890.777390623019,71608.0,20.1,0,89999.99999999997
Плющево,Зарайская ,11,16,50.0,2,https://www.cian.ru/rent/flat/317593364/,55.729744,37.7697929,724.5094254544352,70650.0,25.0,0,60000.00000000002
Бунинская аллея,Бартеневская ,5,23,43.0,1,https://www.cian.ru/rent/flat/317595826/,55.5477084,37.5146033,1083.5068507054489,53788.0,43.0,0,74999.99999999996
Митино, Барышиха,16,17,44.0,1,https://www.cian.ru/rent/flat/317582425/,55.8461408,37.3455454,1044.410785176549,62375.0,44.0,0,54999.99999999995
Нагорная,Электролитный проезд,6,10,55.0,2,https://www.cian.ru/rent/flat/317618596/,55.6734921,37.6143511,276.7399379377035,73333.0,27.5,0,120000.00000000006
Матвеевская,Веерная ,5,5,35.0,1,https://www.cian.ru/rent/flat/317606886/,55.7109455,37.4807469,1831.5342115667704,97264.0,35.0,0,54999.99999999995
Бульвар Рокоссовского,проезд 4-й Подбельского,7,9,72.6,3,https://www.cian.ru/rent/flat/317618935/,55.81966,37.7247604,809.3973980404263,70824.0,24.2,0,79999.99999999994
Окская,Окская ,29,30,55.0,3,https://www.cian.ru/rent/flat/317612546/,55.7165446,37.7690857,825.1389523175059,70650.0,18.333333333333332,0,100000.00000000001
Марьина Роща,Шереметьевская ,8,9,55.0,2,https://www.cian.ru/rent/flat/317602406/,55.8053528,37.617179,1109.8263688826914,92410.0,27.5,0,139999.9999999999
Киевская,Украинский бульвар,3,12,50.0,2,https://www.cian.ru/rent/flat/317610792/,55.7476454,37.5649942,384.8547022107773,194664.0,25.0,0,74999.99999999996
Марьино,Луговой проезд,2,9,35.0,1,https://www.cian.ru/rent/flat/317606923/,55.6513469,37.7519538,577.2052420054293,65291.0,35.0,0,54999.99999999995
Каховская,Симферопольский бульвар,5,17,39.8,1,https://www.cian.ru/rent/flat/317607000/,55.6520393,37.6064407,507.7678668934983,73333.0,39.8,0,50000.00000000001
Университет,Ленинский проспект,4,10,52.0,2,https://www.cian.ru/rent/flat/317593206/,55.6855903,37.5382018,828.7720864006582,103844.0,26.0,0,194999.99999999994
Сетунь,Беловежская ,7,10,63.0,3,https://www.cian.ru/rent/flat/317600937/,55.7124681,37.3927076,3498.812006179006,105020.0,21.0,0,89999.99999999997
Автозаводская,1-й Кожуховский проезд,5,8,60.0,2,https://www.cian.ru/rent/flat/317583777/,55.7085625,37.6655564,516.6335930411716,122875.0,30.0,0,89999.99999999997
Нижегородская, Нижняя Хохловка,5,25,40.0,1,https://www.cian.ru/rent/flat/317575717/,55.7281799,37.7201744,540.9275583665535,69856.0,40.0,0,54999.99999999995
Речной вокзал,Ленинградское шоссе,2,31,40.0,2,https://www.cian.ru/rent/flat/317613909/,55.8558405,37.4717234,293.4090432036311,84602.0,20.0,0,85000.0
Улица Скобелевская,Изюмская ,3,8,43.0,1,https://www.cian.ru/rent/flat/317577807/,55.545434,37.5619259,549.4812550249387,53788.0,43.0,0,54999.99999999995
Деловой центр,набережная Пресненская,27,42,37.2,1,https://www.cian.ru/rent/flat/317603397/,55.7471417,37.5394437,350.99332422667305,278657.0,37.2,0,161999.99999999988
Молодёжная, Академика Павлова,7,12,38.0,1,https://www.cian.ru/rent/flat/317608262/,55.7479127,37.4062978,984.8771948472972,92109.0,38.0,0,39999.99999999997
Ботанический сад,Березовая аллея,9,18,77.0,3,https://www.cian.ru/rent/flat/317611463/,55.84934,37.6236914,1040.0590336229131,85965.0,25.666666666666668,0,124999.99999999991
Тульская,Духовской переулок,5,11,62.2,2,https://www.cian.ru/rent/flat/317595464/,55.7048086,37.6145125,682.4431216837628,111681.0,31.1,0,165000.00000000006
Шаболовская, Серпуховский Вал,4,8,30.7,1,https://www.cian.ru/rent/flat/317607142/,55.7122508,37.6099656,846.9965265852038,122875.0,30.7,0,79999.99999999994
Шелепиха,Шелепихинская набережная,28,40,82.0,3,https://www.cian.ru/rent/flat/317597043/,55.7670291,37.5017572,1182.8023296473657,102401.0,27.333333333333332,1,219999.99999999985
Марьино,Новочеркасский бульвар,6,14,39.0,1,https://www.cian.ru/rent/flat/317602537/,55.6490074,37.738067,335.5775980546759,65291.0,39.0,0,42999.99999999997
Алексеевская,Новоалексеевская ,8,13,46.0,2,https://www.cian.ru/rent/flat/317595376/,55.8085088,37.6477713,550.9213713303402,105388.0,23.0,0,109999.99999999991
Академическая, Шверника,12,12,40.0,1,https://www.cian.ru/rent/flat/317591821/,55.6938762,37.5850445,1009.1524057376238,106416.0,40.0,0,60000.00000000002
Отрадное, Хачатуряна,17,17,38.0,1,https://www.cian.ru/rent/flat/317582815/,55.858227,37.5927662,936.7071726570113,64371.0,38.0,0,39999.99999999997
Рабочий посёлок, Кутузова,2,14,49.0,2,https://www.cian.ru/rent/flat/317620177/,55.7219242,37.4141728,2108.045272412075,105020.0,24.5,0,69999.99999999994
Беляево, Бутлерова,9,9,35.0,1,https://www.cian.ru/rent/flat/317608389/,55.6517596,37.5256893,997.5208937018124,73135.0,35.0,0,54999.99999999995
Хорошёвская,1-я Магистральная ,7,22,40.0,1,https://www.cian.ru/rent/flat/317603429/,55.77095,37.517422,683.0403760786434,126602.0,40.0,0,98000.00000000001
Нижегородская,Рязанский проспект,14,25,20.0,1,https://www.cian.ru/rent/flat/317601947/,55.727358,37.7413317,859.642552553545,69856.0,20.0,0,54999.99999999995
Сетунь,Барвихинская ,8,12,50.0,2,https://www.cian.ru/rent/flat/317616204/,55.7179833,37.3870875,3152.4894643021707,105020.0,25.0,0,60000.00000000002
Бульвар Генерала Карбышева,бульвар Генерала Карбышева,11,18,46.0,1,https://www.cian.ru/rent/flat/317597124/,55.7801882,37.4714966,1077.72982815341,102401.0,46.0,0,79999.99999999994
Улица 1905 года, Костикова,3,22,67.0,2,https://www.cian.ru/rent/flat/317618213/,55.7613104,37.5573303,480.4647680689992,278657.0,33.5,0,249999.99999999983
Савёловская,Вадковский переулок,1,5,60.0,3,https://www.cian.ru/rent/flat/317612796/,55.7892863,37.5955855,584.814057421123,243014.0,20.0,0,89999.99999999997
Проспект Вернадского, Удальцова,9,9,35.0,1,https://www.cian.ru/rent/flat/317608128/,55.6711278,37.510147,722.4140414196477,100671.0,35.0,0,60000.00000000002
Варшавская,Варшавское шоссе,13,17,54.0,2,https://www.cian.ru/rent/flat/317620120/,55.644038,37.6188779,862.071852686676,73333.0,27.0,0,65000.00000000002
Бульвар Дмитрия Донского,бульвар Дмитрия Донского,7,17,51.5,2,https://www.cian.ru/rent/flat/317578920/,55.5679825,37.5739444,207.49289710992792,59792.0,25.75,0,69999.99999999994
Новые Черёмушки,Новочеремушкинская ,13,17,54.0,2,https://www.cian.ru/rent/flat/317580596/,55.6717436,37.5638662,619.9280481296508,95015.0,27.0,0,69999.99999999994
Белорусская,Бумажный проезд,2,20,94.0,3,https://www.cian.ru/rent/flat/317605587/,55.786671,37.5864926,682.9664658828573,176491.0,31.333333333333332,1,260000.00000000015
Спартак,Волоколамское шоссе,14,22,40.0,1,https://www.cian.ru/rent/flat/317599013/,55.8175592,37.4249108,648.9213082213565,124769.0,40.0,0,65000.00000000002
Баррикадная,Зоологическая ,5,20,142.0,3,https://www.cian.ru/rent/flat/317600918/,55.7666974,37.5835999,663.9733932921216,278657.0,47.333333333333336,1,219999.99999999985
Минская,Минская ,26,39,121.0,3,https://www.cian.ru/rent/flat/317621873/,55.6460797,37.2615295,3230.1089486108067,196953.0,40.333333333333336,1,420000.00000000023
Марьино,Люблинская ,7,17,99.0,3,https://www.cian.ru/rent/flat/317604362/,55.6513201,37.7456224,216.37367435781783,65291.0,33.0,1,105000.00000000004
Ломоносовский проспект,Мосфильмовская ,2,7,60.0,2,https://www.cian.ru/rent/flat/317592267/,55.7109782,37.5043164,842.1792501246433,196953.0,30.0,0,340000.00000000006
Стрешнево,Щукинская ,18,20,101.3,3,https://www.cian.ru/rent/flat/317622081/,55.8095184,37.4833147,506.9935817784007,115591.0,33.766666666666666,1,200000.00000000006
Электрозаводская,Большая Почтовая ,10,17,64.0,2,https://www.cian.ru/rent/flat/317581909/,55.7769252,37.6942334,797.1585109144424,183675.0,32.0,0,149999.99999999994
Новохохловская,Новохохловская ,9,33,45.0,2,https://www.cian.ru/rent/flat/317621063/,55.7282723,37.711274,573.5181155645446,69856.0,22.5,0,74999.99999999996
Беломорская,Валдайский проезд,25,25,82.0,3,https://www.cian.ru/rent/flat/317592814/,55.8670478,37.4673142,585.5616897493779,84602.0,27.333333333333332,1,74999.99999999996
Селигерская,Ильменский проезд,17,39,53.0,2,https://www.cian.ru/rent/flat/317608485/,55.8623928,37.5426854,457.49731850108674,71608.0,26.5,0,109999.99999999991
Площадь Ильича, Рогожский Вал,16,17,37.0,1,https://www.cian.ru/rent/flat/317594279/,55.7410316,37.6780008,635.6365232274007,130354.0,37.0,0,50000.00000000001
Угрешская,Волгоградский проспект,4,30,65.0,3,https://www.cian.ru/rent/flat/317580877/,55.7210759,37.6948733,359.64708773261793,98953.0,21.666666666666668,0,130000.00000000006
Петровский Парк,Петровско-Разумовская аллея,5,12,70.0,2,https://www.cian.ru/rent/flat/317616003/,55.7961476,37.5591373,500.6371353964503,175527.0,35.0,0,149999.99999999994
Дмитровская,Дмитровский проезд,26,48,43.0,2,https://www.cian.ru/rent/flat/317609976/,55.8087343,37.5782389,298.0031034180817,85298.0,21.5,0,144999.99999999994
Зюзино,Севастопольский проспект,3,12,35.0,1,https://www.cian.ru/rent/flat/317611328/,55.6519482,37.5650016,659.099654210412,95015.0,35.0,0,60000.00000000002
